Client Fund,Trade ID,Transaction Type,FX Type,Trade Date,Contractual Settlement Date,FX Buy/Sell,Broker Name,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Base Currency Code,Base Current Value,Unrealized Gain/Loss,Days Past Due,Period End Date
HRQF,26BJJBCC9TF,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,22984001.240000,CAD,16530909.650000,USD,CAD,22644866.590000,339134.650000,0.000000,02/18/2026
HRCF,26BJJBCC9VX,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,607223.970000,CAD,440551.400000,USD,CAD,603489.340000,3734.630000,0.000000,02/18/2026
HRCH,26BKJBC53XD,KSELL,S,02/17/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,1152157.750000,CAD,840597.660000,USD,CAD,1151492.700000,665.050000,0.000000,02/18/2026
HRVR,26BJJBCC9RL,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,47273764.280000,CAD,34045156.530000,USD,CAD,46636757.680000,637006.600000,0.000000,02/18/2026
HRQJ,26BJJBCC9VJ,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,10367098.430000,CAD,7543576.980000,USD,CAD,10333568.930000,33529.500000,0.000000,02/18/2026
HRVU,26BJJBCC9K1,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,26280299.880000,CAD,18865765.000000,USD,CAD,25843268.190000,437031.690000,0.000000,02/18/2026
HRVY,26BJJBCC9R4,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,51730809.680000,CAD,37268952.600000,USD,CAD,51052874.720000,677934.960000,0.000000,02/18/2026
HRA9,26BJJBCC9VS,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,509266.210000,CAD,370529.940000,USD,CAD,507570.440000,1695.770000,0.000000,02/18/2026
HRV1,26BJJBCC9SC,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,63128075.490000,CAD,45387450.570000,USD,CAD,62173999.170000,954076.320000,0.000000,02/18/2026
HRQL,26BJJBCC9VK,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,11307307.480000,CAD,8207971.190000,USD,CAD,11243689.340000,63618.140000,0.000000,02/18/2026
HRV3,26BJJBCC9SN,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,28320284.370000,CAD,20361630.420000,USD,CAD,27892379.430000,427904.940000,0.000000,02/18/2026
HRV5,26BJJBCC9S1,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,37595470.020000,CAD,27007174.540000,USD,CAD,36995778.050000,599691.970000,0.000000,02/18/2026
HRQO,26BJJBCC9LV,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,24279341.650000,CAD,17585754.420000,USD,CAD,24089845.690000,189495.960000,0.000000,02/18/2026
HRV7,26BJJBCC9T7,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,29238328.450000,CAD,20997883.590000,USD,CAD,28763950.840000,474377.610000,0.000000,02/18/2026
HRTM,26BKKBCQF27,KBUY,S,02/17/2026,02/19/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,4344000.000000,EUR,7018427.040000,CAD,CAD,7012222.840000,-6204.200000,0.000000,02/18/2026
HRTM,26BKKBCQF2P,KBUY,S,02/17/2026,02/19/2026,B,CANADIAN IMPERIAL BANK OF COMMERCE,0.540766,148000.000000,GBP,273622.400000,CAD,CAD,273685.960000,63.560000,0.000000,02/18/2026
HRTM,26BKKBCQF5P,KSELL,F,02/17/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,12973974.640000,CAD,8030000.000000,EUR,CAD,12962716.830000,11257.810000,0.000000,02/18/2026
HRTM,26BKKBCQKC4,KSELL,F,02/17/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.540766,8446324.270000,CAD,4570000.000000,GBP,CAD,8448831.350000,-2507.080000,0.000000,02/18/2026
HRTM,26AEKBB7PKH,KSELL,F,01/08/2026,02/26/2026,S,TORONTO DOMINION BANK,0.619490,45261248.900000,CAD,28003000.000000,EUR,CAD,45204851.730000,56397.170000,0.000000,02/18/2026
HRTM,26AEKBB7PL9,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.564368,12929595.100000,CAD,7434000.000000,CHF,CAD,13177458.830000,-247863.730000,0.000000,02/18/2026
HRTM,26AEKBB7QRQ,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,6.600686,27592688.380000,CAD,183498000.000000,SEK,CAD,27801819.190000,-209130.810000,0.000000,02/18/2026
HRTM,26AEKBB7PLX,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.619490,45243775.030000,CAD,28003000.000000,EUR,CAD,45204851.730000,38923.300000,0.000000,02/18/2026
HRTM,26AEKBB7PLT,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,6.958755,13083653.690000,CAD,95483000.000000,NOK,CAD,13717266.750000,-633613.060000,0.000000,02/18/2026
HRTM,26AEKBB7PKJ,KSELL,F,01/08/2026,02/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.540766,69299061.310000,CAD,37277000.000000,GBP,CAD,68916211.460000,382849.850000,0.000000,02/18/2026
HRTM,26ASKBB4BLL,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,22646414.370000,CAD,16743000.000000,USD,CAD,22921882.960000,-275468.590000,0.000000,02/18/2026
HRTM,26ASKBB4D47,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,22683500.120000,CAD,16743000.000000,USD,CAD,22921882.960000,-238382.840000,0.000000,02/18/2026
HRTM,26BHKBB5S45,KSELL,F,02/11/2026,03/26/2026,S,TORONTO DOMINION BANK,0.730007,35921257.920000,CAD,26560000.000000,USD,CAD,36329416.230000,-408158.310000,0.000000,02/18/2026
HRTM,26BHKBB5XQP,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,35942187.200000,CAD,26560000.000000,USD,CAD,36329416.230000,-387229.030000,0.000000,02/18/2026
HRQ7,26BLJBB1Q7F,KSELL,S,02/18/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,10869699.570000,CAD,7730241.270000,USD,CAD,10589271.000000,280428.570000,0.000000,02/18/2026
